"astro-ph/0110093","Chung-Pei Ma","Nick Sarbu, David Rusin and Chung-Pei Ma (U Penn; UC Berkeley)","Strong Gravitational Lensing and Dark Energy","12 pages, 3 figures. Accepted for publication in ApJ Letters","Astrophys.J. 561 (2001) L147-L151","10.1086/324679",,"astro-ph hep-ph",,"  We investigate the statistics of gravitational lenses in flat, low-density
cosmological models with different cosmic equations of state w. We compute the
lensing probabilities as a function of image separation \theta using a lens
population described by the mass function of Jenkins et al. and modeled as
singular isothermal spheres on galactic scales and as Navarro, Frenk & White
halos on cluster scales. It is found that COBE-normalized models with w > - 0.4
produce too few arcsecond-scale lenses in comparison with the JVAS/CLASS radio
survey, a result that is consistent with other observational constraints on w.
The wide-separation (\theta > 4'') lensing rate is a particularly sensitive
probe of both w and the halo mass concentration. The absence of these systems
in the current JVAS/CLASS data excludes highly concentrated halos in w < -0.7
models. The constraints can be improved by ongoing and future lensing surveys
of > 10^5 sources.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:07:19 GMT""}]","2009-11-07"
"astro-ph/0110124","Timothy J. Pearson","S. Padin, M. C. Shepherd, J. K. Cartwright, R. G. Keeney, B. S. Mason,
  T. J. Pearson, A. C. S. Readhead, W. L. Schaal, J. Sievers, P. S.
  Udomprasert, J. K. Yamasaki (Caltech), W. L. Holzapfel (University of
  California), J. E. Carlstrom (University of Chicago), M. Joy (NASA Marshall
  Space Flight Center), S. T. Myers (NRAO), A. Otarola (ESO)","The Cosmic Background Imager","14 pages. Accepted for publication in PASP. See also
  http://www.astro.caltech.edu/~tjp/CBI/","PASP, 114, 83-97, 2002 January","10.1086/324786",,"astro-ph",,"  Design and performance details are given for the Cosmic Background Imager
(CBI), an interferometer array that is measuring the power spectrum of
fluctuations in the cosmic microwave background radiation (CMBR) for multipoles
in the range 400 < l < 3500. The CBI is located at an altitude of 5000 m in the
Atacama Desert in northern Chile. It is a planar synthesis array with 13 0.9-m
diameter antennas on a 6-m diameter tracking platform. Each antenna has a
cooled, low-noise receiver operating in the 26-36 GHz band. Signals are
cross-correlated in an analog filterbank correlator with ten 1 GHz bands. This
allows spectral index measurements which can be used to distinguish CMBR
signals from diffuse galactic foregrounds. A 1.2 kHz 180-deg phase switching
scheme is used to reject cross-talk and low-frequency pick-up in the signal
processing system. The CBI has a 3-axis mount which allows the tracking
platform to be rotated about the optical axis, providing improved (u,v)
coverage and a powerful discriminant against false signals generated in the
receiving electronics. Rotating the tracking platform also permits polarization
measurements when some of the antennas are configured for the orthogonal
polarization.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 00:20:17 GMT""}]","2009-11-07"
"astro-ph/0110125","Takayoshi Sano","Takayoshi Sano, Shu-ichiro Inutsuka","Saturation and Thermalization of the Magnetorotational Instability:
  Recurrent Channel Flows and Reconnections","11 pages, 4 figures, accepted for publication in ApJL",,"10.1086/324763",,"astro-ph",,"  The nonlinear evolution and the saturation mechanism of the magnetorotational
instability (MRI) are investigated using three-dimensional resistive MHD
simulations. A local shearing box is used for our numerical analysis and the
simulations begin with a purely vertical magnetic field. We find that the
magnetic stress in the nonlinear stage of the MRI is strongly fluctuating. The
time evolution shows the quasi-periodic recurrence of spike-shape variations
typically for a few orbits which correspond to the rapid amplification of the
magnetic field by the nonlinear growth of a two-channel solution followed by
the decay through magnetic reconnections. The increase rate of the total energy
in the shearing box system is analytically related to the volume-averaged
torque in the system. We find that at the saturated state this energy gain of
the system is balanced with the increase of the thermal energy mostly due to
the joule heating. The spike-shape time evolution is a general feature of the
nonlinear evolution of the MRI in the disks threaded by vertical fields and can
be seen if the effective magnetic Reynolds number is larger than about unity.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 00:17:02 GMT""}]","2009-11-07"
"astro-ph/0110126","Enrique Gaztanaga","Enrique Gaztanaga (INAOE/Mexico, IEEC/CSIC)","Large scale structures in the Early SDSS: Comparison of the North and
  South Galactic strips","10 pages, 16 figures, matches version accepted in ApJ, includes new
  analysis with seeing and extinction mask which explains North and South SDSS
  discrepancies. Also includes covariance analysis for 2-pt function. Main
  conclusions remain unchanged","Astrophys.J. 580 (2002) 144-153","10.1086/343066",,"astro-ph",,"  We compare the large scale galaxy clustering between the North and South SDSS
early data release (EDR) and also with the clustering in the APM Galaxy Survey.
The three samples are independent and cover an area of 150, 230 and 4300 square
degrees respectively. We combine SDSS data in different ways to approach the
APM selection. Given the good photometric calibration of the SDSS data and the
very good match of its North and South number counts, we combine them in a
single sample. The joint clustering is compared with equivalent subsamples in
the APM. The final sampling errors are small enough to provide an independent
test for some of the results in the APM. We find evidence for an inflection in
the shape of the 2-point function in the SDSS which is very similar to what is
found in the APM. This feature has been interpreted as evidence for non-linear
gravitational growth. By studying higher order correlations, we can also
confirm good agreement with the hypothesis of Gaussian initial conditions (and
small biasing) for the structure traced by the large scale SDSS galaxy
distribution.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 00:45:37 GMT""},{""version"":""v2"",""created"":""Mon, 8 Oct 2001 01:48:46 GMT""},{""version"":""v3"",""created"":""Mon, 8 Jul 2002 23:48:23 GMT""}]","2009-11-07"
"astro-ph/0110127","Simon Ellingsen","S.P. Ellingsen (University of Tasmania)","Polarization properties of the 6.7 GHz methanol masers in NGC6334F","To appear in proceedings of IAU Symposium 206: Cosmic Masers (Brazil
  March 2001), 4 pages, 4 figures, uses newpasp.sty",,,,"astro-ph",,"  The Australia Telescope Compact Array (ATCA) has been used to make the first
full polarization observations of 6.7 GHz methanol masers. Linear polarization
was detected towards all four sources observed, at levels between a few and
10%, while none of the sources show circular polarization stronger than
approximately 1.5%. Linear polarization appears to be more common in the 6.7
GHz methanol maser transition than it is for the 12.2 GHz transition,
consistent with the hypothesis that the 6.7 GHz masers are more saturated.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 02:27:54 GMT""}]","2007-05-23"
"astro-ph/0110128","Douglas C.-J. Bock","Douglas C.-J. Bock, Melvyn C. H. Wright, and John R. Dickel","The Crab-like Supernova Remnant G21.5-0.9 at Millimeter Wavelengths","5 pages including 2 figures; ApJL, in press","ApJ, 561, L203, 2001","10.1086/324703",,"astro-ph",,"  We present a BIMA image of the supernova remnant G21.5-0.9 at 94 GHz with
angular resolution 8.6"" x 4.5"". On scales larger than our synthesized beam, our
results do not indicate any radial or local variations in the acceleration or
synchrotron loss processes for the relativistic particles emitting at radio
wavelengths. However, the FWHM size of the radio remnant is significantly
greater than that of the X-ray remnant. Either any low-frequency spectral break
is distributed across the remnant, or more probably the break frequency is in
fact higher than ~100 GHz.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 05:09:35 GMT""}]","2009-11-07"
"astro-ph/0110129","Peter F. Bloser","P. F. Bloser, R. Andritschke, G. Kanbach, V. Schoenfelder, F.
  Schopper, and A. Zoglauer (MPE) (for the MEGA Collaboration)","The MEGA Advanced Compton Telescope Project","7 pages LaTeX, 5 figures, to appear in New Astronomy Reviews
  (Proceedings of the Ringberg Workshop ""Astronomy with Radioactivities III"")","New Astron.Rev. 46 (2002) 611-616","10.1016/S1387-6473(02)00209-9",,"astro-ph",,"  The goal of the Medium Energy Gamma-ray Astronomy (MEGA) telescope is to
improve sensitivity at medium gamma-ray energies (0.4-50 MeV) by at least an
order of magnitude over that of COMPTEL. This will be achieved with a new
compact design that allows for a very wide field of view, permitting a
sensitive all-sky survey and the monitoring of transient and variable sources.
The key science objectives for MEGA include the investigation of cosmic
high-energy particle accelerators, studies of nucleosynthesis sites using
gamma-ray lines, and determination of the large-scale structure of galactic and
cosmic diffuse background emission. MEGA records and images gamma-ray events by
completely tracking both Compton and pair creation interactions in a tracker of
double-sided silicon strip detectors and a calorimeter of CsI crystals able to
resolve in three dimensions. We present initial laboratory calibration results
from a small prototype MEGA telescope.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 08:18:50 GMT""}]","2019-08-14"
"astro-ph/0110130","Boris T. Gaensicke","B.T. Gaensicke, T.M. Braje, R.W. Romani","Thermal emission from low-field neutron stars","8 pages A&A(5)-Latex, 6 Figures, A&A in press. The model spectra
  presented here are available as XSPEC tables at
  http://www.astro.soton.ac.uk/~btg/outgoing/nsspec/","2002, A&A 386, 1001","10.1051/0004-6361:20020332",,"astro-ph",,"  We present a new grid of LTE model atmospheres for weakly magnetic
(B<=10e10G) neutron stars, using opacity and equation of state data from the
OPAL project and employing a fully frequency- and angle-dependent radiation
transfer. We discuss the differences from earlier models, including a
comparison with a detailed NLTE calculation. We suggest heating of the outer
layers of the neutron star atmosphere as an explanation for the featureless
X-ray spectra of RX J1856.5-3754 and RX J0720.4-3125 recently observed with
Chandra and XMM.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 08:48:45 GMT""},{""version"":""v2"",""created"":""Mon, 4 Mar 2002 16:17:53 GMT""}]","2009-11-07"
"astro-ph/0110131","J. D. Kurk","J.D. Kurk, B.P. Venemans, H.J.A. Roettgering, G.K. Miley, L.
  Pentericci","A search for high redshift clusters associated with radio galaxies at 2
  < z < 4","4 pages, 3 figures, Sesto conference proceeding 'Probing cosmic
  evolution with galaxy clusters'",,,,"astro-ph",,"  High redshift radio galaxies are amongst the most massive galaxies in the
early Universe and have properties expected from central galaxies in forming
clusters. We are carrying out an observational programme on the VLT to find and
study galaxy proto clusters around radio galaxies at redshifts 2 < z < 4.
First, we use narrow band imaging to select candidate galaxies which show
excess Lyman alpha emission at redshifts similar to the central radio galaxy.
Then, we use multi object spectroscopy to confirm the redshifts of these
candidates and measure the velocity dispersion of the cluster members. Our goal
is to observe a sample of about 10 targets and investigate galaxy overdensities
as a function of redshift. Here, we report on the current progress of the
programme and show some preliminary results which include the discovery of a
structure of galaxies at redshift 4.1.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 09:04:57 GMT""}]","2007-05-23"
"astro-ph/0110132","Thomas Bloecker","B. Yudin (1), Y. Balega (2), T. Bloecker (3), K.-H. Hofmann (3), D.
  Schertl (3), G. Weigelt (3) ((1) Sternberg Astronomical Institute, Moscow,
  Russia; (2) Special Astrophysical Observatory, Nizhnij Arkhyz, Russia; (3)
  Max-Planck-Institut fuer Radioastronomie, Bonn, Germany)","Speckle interferometry and radiative transfer modelling of the
  Wolf-Rayet star WR 118","6 pages including 4 PostScript figures, also available from
  http://www.mpifr-bonn.mpg.de/div/ir-interferometry/publications.html;
  accepted for publication in Astronomy & Astrophysics",,"10.1051/0004-6361:20011289",,"astro-ph",,"  WR 118 is a highly evolved Wolf-Rayet star of the WC10 subtype surrounded by
a permanent dust shell absorbing and re-emitting in the infrared a considerable
fraction of the stellar luminosity. We present the first diffraction-limited
2.13micron speckle interferometric observations of WR 118 with 73 mas
resolution. The speckle interferograms were obtained with the 6m telescope at
the Special Astrophysical Observatory. The two-dimensional visibility function
of the object does not show any significant deviation from circular symmetry.
The visibility curve declines towards the diffraction cut-off frequency to 0.66
and can be approximated by a linear function. Radiative transfer calculations
have been carried out to model the spectral energy distribution, given in the
range of 0.5-25micron, and our 2.13micron visibility function, assuming
spherical symmetry of the dust shell. Both can be fitted with a model
containing double-sized grains (``small'' and ``large'') with the radii of a =
0.05micron and 0.38micron, and a mass fraction of the large grains greater than
65%. Alternatively, a good match can be obtained with the grain size
distribution function n(a)~a^-3, with a ranging between 0.005micron and
0.6micron. At the inner boundary of the modelled dust shell (angular diameter
(17 +/- 1)mas), the temperature of the smallest grains and the dust shell
density are 1750K +/- 100K and (1 +/- 0.2)x10^-19 g/cm^3, respectively. The
dust formation rate is found to be (1.3 +/- 0.5)x10^-7 Msol/yr assuming Vwind =
1200 km/s.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 09:11:10 GMT""}]","2009-11-07"
"astro-ph/0110133","Jose L. Gomez","Jose-Luis Gomez, Alan P. Marscher, Antonio Alberdi, Svetlana G.
  Jorstad, Ivan Agudo","Monthly 43 GHz VLBA Polarimetric Monitoring of 3C120 over 16 Epochs:
  Evidence for Trailing Shocks in a Relativistic Jet","4 pages, 5 figures, accepted for publication in Astrophysical Journal
  Letters",,"10.1086/324759",,"astro-ph",,"  We present a 16-month sequence of monthly polarimetric 43 GHz VLBA images of
the radio galaxy 3C 120. The images probe the inner regions of the radio jet of
this relatively nearby superluminal radio galaxy at a linear resolution of 0.07
$h_{65}^{-1}$ pc ($H_o= 65 h_{65}$ km s$^{-1}$ Mpc$^{-1}$). We follow the
motion of a number of features with apparent velocities between 4.01$\pm$0.08
and $5.82\pm 0.13 h_{65}^{-1} c$. A new superluminal knot, moving at $4.29\pm
0.16 h_{65}^{-1} c$, is observed to be ejected from the core at a time
coincident with the largest flare ever observed for this source at millimeter
wavelengths. Changes in the position angle of this component, as well as a
progressive rotation of its magnetic polarization vector, suggest the presence
of a twisted (resembling a helix in projection) configuration of the underlying
jet magnetic field and jet geometry. We identify several knots that appear in
the wake of the new superluminal component, moving at proper motions $\sim 4$
times slower than any of the other moving knots observed in 3C 120. These
features have properties similar to those of the ``trailing'' shocks seen in
relativistic, time-dependent, hydrodynamical and emission simulations of
compact jets. Such trailing compressions are triggered by pinch-mode jet-body
instabilities caused by the propagation of a strong perturbation, which we
associate with the new strong superluminal component.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:03:37 GMT""}]","2009-11-07"
"astro-ph/0110134","Dr. Somenath Chakrabarty","Sutapa Ghosh and Somenath Chakrabarty","Magnetically Induced ""Dry"" Water Like Structure of Charged Fluid at the
  Core of a Magnetar","Four pages REVTEX FILE, One .eps file (included)",,,,"astro-ph",,"  It is shown that charged fluid, e.g., electron gas or proton matter at the
core of a magnetar exhibit super-fluid (frictionless) like property if the
magnetic field strength is high enough to populate only the zeroth Landau
levels.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:34:57 GMT""}]","2007-05-23"
"astro-ph/0110135","Dr. Somenath Chakrabarty","Sutapa Ghosh and Somenath Chakrabarty","Instability of Quark Matter Core in a Compact Newborn Neutron Star With
  Moderately Strong Magnetic Field","Six pages REVTEX file, one .eps file (included)","Pramana60:901-908,2002","10.1007/BF02707009",,"astro-ph",,"  It is explicitly shown that if phase transition occurs at the core of a
newborn neutron star with moderately strong magnetic field strength, which
populates only the electron's Landau levels, then in the $\beta$-equilibrium
condition, the quark core is energetically much more unstable than the neutron
matter of identical physical condition.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:35:01 GMT""}]","2008-11-26"
"astro-ph/0110136","Ignas Snellen","Ignas Snellen, Richard McMahon, Isobel Hook, Ian Browne","Automated optical identification of a large complete northern hemisphere
  sample of flat spectrum radio sources with S_6cm > 200 mJy","LaTex, 17 pages, 5 gif figures, 4 tables. Accepted for publication in
  MNRAS. High resolution figures can be found at http://www.roe.ac.uk/~ignas/","Mon.Not.Roy.Astron.Soc. 329 (2002) 700","10.1046/j.1365-8711.2002.05049.x",,"astro-ph",,"  This paper describes the automated optical APM identification of radio
sources from the Jodrell Bank - VLA Astrometric Survey (JVAS), as used for the
search for distant radio-loud quasars. The sample has been used to investigate
possible relations between optical and radio properties of flat spectrum radio
sources. From the 915 sources in the sample, 756 have an optical APM
identification at a red (e) and/or blue (o) plate,resulting in an
identification fraction of 83% with a completeness and reliability of 98% and
99% respectively. About 20% are optically identified with extended APM objects
on the red plates, e.g. galaxies. However the distinction between galaxies and
quasars can not be done properly near the magnitude limit of the POSS-I plates.
The identification fraction appears to decrease from >90% for sources with a 5
GHz flux density of >1 Jy, to <80% for sources at 0.2 Jy. The identification
fraction, in particular that for unresolved quasars, is found to be lower for
sources with steeper radio spectra. In agreement with previous studies, we find
that the quasars at low radio flux density levels also tend to have fainter
optical magnitudes, although there is a large spread. In addition, objects with
a steep radio-to-optical spectral index are found to be mainly highly polarised
quasars, supporting the idea that in these objects the polarised synchrotron
component is more prominent. It is shown that the large spread in
radio-to-optical spectral index is possibly caused by source to source
variations in the Doppler boosting of the synchrotron component [Abridged].
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:44:51 GMT""}]","2009-11-07"
"astro-ph/0110137","Ayako Yoshisato","A. Yoshisato, M. Morikawa, H. Mouri","Negative skewness of radial pairwise velocity in the quasi-nonlinear
  regime: Zel'dovich approximation","11 pages, to appear in Monthly Notices of the Royal Astronomical
  Society",,,,"astro-ph",,"  According to N-body numerical simulations, the radial pairwise velocities of
galaxies have negative skewness in the quasi-nonlinear regime. To understand
its origin, we calculate the probability distribution function of the radial
pairwise velocity using the Zel'dovich approximation, i.e., an analytical
approximation for gravitational clustering. The calculated probability
distribution function is in good agreement with the result of N-body
simulations. Thus the negative skewness originates in relative motions of
galaxies in the clustering process that the infall dominates over the
expansion.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 11:30:14 GMT""},{""version"":""v2"",""created"":""Thu, 29 May 2003 12:40:43 GMT""}]","2007-05-23"
"astro-ph/0110138","Jorick S. Vink","Jorick S. Vink, Janet E. Drew, Tim J. Harries, Rene D. Oudmaijer","Are all young stars disc accretors?","2 figures, 2 pages, to appear in: ""The Earliest Phases of Massive
  Star Birth""",,,,"astro-ph",,"  We now understand how low mass stars evolve through cloud collapse and disc
accretion, but whether higher mass stars are also disc accretors is as yet
unknown. Spectropolarimetry observations can help in answering this basic
question, as they probe the first few stellar radii around young stars.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 11:36:12 GMT""}]","2007-05-23"
"astro-ph/0110139","Lung-Yih Chiang","L.-Y. Chiang, P.R. Christensen, H.E. Jorgensen, I.P. Naselsky, P.D.
  Naselsky, D.I. Novikov and I.D. Novikov","Asymmetry of the PLANCK antenna beam shape and its manifestation in the
  CMB data","8 pages, 5 figures, submitted to Astronomy & Astrophysics","Astron.Astrophys. 392 (2002) 369","10.1051/0004-6361:20020796",,"astro-ph",,"  We present a new method to extract the beam shape incorporated in the
pixelized map of CMB experiments. This method is based on the interplay of the
amplitudes and phases of the signal and instrumental noise. By adding
controlled white noise onto the map, the phases are perturbed in such a way
that the beam shape manifests itself through the mean-squared value of the
difference between original and perturbed phases. This method is useful in
extracting preliminary antenna beam shape without time-consuming spherical
harmonic computations.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 11:45:40 GMT""}]","2009-11-07"
"astro-ph/0110140","Raffaella Landi","R. Landi, L. Bassani, G. Malaguti, M. Cappi, A. Comastri, M. Dadina,
  G. Di Cocco, A.C. Fabian, E. Palazzi, G.G.C. Palumbo, M. Trifoglio","BeppoSAX view of NGC 526A: a Seyfert 1.9 galaxy with a flat spectrum","8 pages, 6 PostScript figures, Latex manuscript, new A&A file style
  included, accepted for publication on Astronomy and Astrophysics",,"10.1051/0004-6361:20011182",,"astro-ph",,"  In the present work we report the BeppoSAX observation of the Seyfert 1.9
galaxy NGC 526A in the band 0.1-150 keV. The high energy instrument onboard,
PDS, has succeeded in measuring for the first time the spectrum of this source
in the 13-150 keV range. The combined analysis of all Narrow Field Instruments
provides a power law spectral index of ~ 1.6 and confirms the flat spectral
nature of this source. Although NGC 526A varies strongly in the 2-10 keV over
period of months/years, its spectral shape remains constant over these
timescales. An Fe K-alpha line, characterized by a complex structure, has been
detected in the 6-7 keV range. The line, which has an equivalent width of 120
eV, is not compatible with being produced in an absorbing torus with N_H ~
10^22 cm^-2, but most likely originates by reflection in an accretion disk
viewed at an intermediate inclination angle of ~ 42 deg. The reflection
component is however small (R < 0.7) and so it is not sufficient to steepen the
spectrum to photon index values more typical of AGNs. Instead, we find that the
data are more consistent with a flat power law spectrum cut-off at around 100
keV plus a small reflection component which could explain the observed iron
line. Thus NGC 526A is the only bona-fide Seyfert 2 galaxy which maintains a
""flat spectrum"" even when broad band data are considered: in this sense its
properties, with respect to the general class of Seyfert 2's, are analogous to
those of NGC 4151 with respect to the vast majority of Seyfert 1's.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:13:37 GMT""}]","2009-11-07"
"astro-ph/0110141","Vitaly V. Neustroev","V.V. Neustroev, A. Medvedev, S. Turbin, N. Borisov","Spectroscopy and Doppler tomography of BZ Ursae Majoris in quiescence","2 pages, 1 figure, Latex, uses newpasp.sty; to appear in `The Physics
  of Cataclysmic Variables and Related Objects', ASP Conf. Ser., eds. B.T.
  Gaensicke, K. Beuermann, K. Reinsch",,,,"astro-ph",,"  We present the first results of time-resolved spectroscopic observations of
little-studied dwarf nova BZ Ursae Majoris in quiescence.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 12:31:54 GMT""},{""version"":""v2"",""created"":""Mon, 8 Oct 2001 09:14:57 GMT""}]","2007-05-23"
"astro-ph/0110142","Ashish Asgekar","Ashish Asgekar (1,2), A. A. Deshpande (1) ((1) Raman Research
  Institute, Bangalore, INDIA (2) Joint Astronomy Programme, Indian Institute
  of Science, Bangalore, INDIA)","Topology and Polarisation of Subbeams Associated With Pulsar B0943+10's
  `Drifting'-Subpulse Emission: II. Analysis of Gauribidanur 35-MHz
  Observations","6 pages, 7 figures (2 color figs), MNRAS, 326 (4), 1249-1254 (2001)","Mon.Not.Roy.Astron.Soc. 326 (2001) 1249","10.1111/j.1365-2966.2001.04664.x",,"astro-ph",,"  In the previous paper of this series Deshpande & Rankin (2001) reported
results regarding subpulse-drift phenomenon in pulsar B0943+10 at 430 MHz and
111 MHz. This study has led to the identification of a stable system of
subbeams circulating around the magnetic axis of this star. Here, we present a
single-pulse analysis of our observations of this pulsar at 35 MHz. The
fluctuation properties seen at this low frequency, as well as our independent
estimates of the number of subbeams required and their circulation time, agree
remarkably well with the reported behavior at higher frequencies. We use the
`cartographic'-transform mapping technique developed in Paper-I to study the
emission pattern in the polar region of this pulsar. The significance of our
results in the context of radio emission mechanisms is also discussed.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:20:40 GMT""}]","2016-01-13"
"astro-ph/0110143","Csaba Kiss","Cs. Kiss, P. Abraham, U. Klaas, M. Juvela, D. Lemke","Sky Confusion Noise in the Far-Infrared: Cirrus, Galaxies and the Cosmic
  Far-Infrared Background","A&A accepted, 9 pages in A&A style, including 7 figures",,"10.1051/0004-6361:20011394",,"astro-ph",,"  We examined the sky confusion noise in 40 sky regions by analysing 175
far-infrared (90--200 $\mu$m) maps obtained with ISOPHOT, the photometer
on-board the Infrared Space Observatory. For cirrus fields with $\rm < \rm B >
> 5$ MJysr$^{-1}$ the formula based on IRAS data (Helou & Beichman,
\cite{Helou+Beichman_90}) predicts confusion noise values within a factor of 2
to our measurements. The dependence of the sky confusion noise on the surface
brightness was determined for the wavelength range 90 $\le \lambda \le$ 200
$\mu$m. We verified that the confusion noise scales as N ~ <B>^{1.5},
independent of the wavelength and confirmed N ~ lambda^{2.5}$ for lambda >=
100$um. The scaling of the noise value at different separations between target
and reference positions was investigated for the first time, providing a
practical formula. Since our results confirm the applicability of the Helou &
Beichman (1990) formula, the cirrus confusion noise predictions made for future
space missions with telescopes of a similar size can be trusted. At 90 and
170um a noise term with a Poissonian spatial distribution was detected in the
faintest fields (<B> <= 3-5 MJysr^{-1}), which we interpret as fluctuations in
the Cosmic Far-Infrared Background (CFIRB). Applying ratios of the fluctuation
amplitude to the absolute level of 10% and 7% at 90 and 170um, respectively, as
supported by model calculations, we achieved a new simultaneous determination
of the fluctuation amplitudes and the surface brightness of the CFIRB. The
fluctuation amplitudes are 7(+/-)2 mJy and 15(+/-)4 mJy at 90 and 170um,
respectively. We obtained a CFIRB surface brightness of B(0)=0.8(+/-)0.2
MJysr^{-1} (nuI_nu=14(+/-)3nWm^-2sr^-1) at 170um and an upper limit of 1.1
MJysr^{-1} (nuI_nu=37 nWm^-2sr^-1) at 90um.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:20:31 GMT""}]","2009-11-07"
"astro-ph/0110144","Mattia Vaccari","Mattia Vaccari","GAIA Galaxy Survey: a multi-colour galaxy survey with GAIA","6 pages, 5 figures, to appear in the Proceedings of the Summer School
  ""GAIA: a European Space Project"", held on the 13-18 May 2001 at the Ecole de
  Physique des Houches, Les Houches, France, published in the ""Journal de
  Physique IV"", EDP Sciences",,"10.1051/eas:2002031",,"astro-ph",,"  The performance expected from a galaxy survey to be carried out with GAIA,
the GAIA Galaxy Survey, is outlined. From a statistical model of galaxy number
density, size and surface brightness distribution, and from detailed numerical
simulations based on real images, it is conservatively estimated that GAIA
would be able to detect and observe about 3 million galaxies brighter than $V
\simeq 17$ and to provide multi-colour and multi-epoch broad-band photometry of
these with an end-of-mission angular resolution of $\simeq$ 0.35 \as and a
photometric accuracy of $simeq$ 0.2 {mag/arcsec$^2$} at $\mu_V = 20$
{mag/arcsec$^2$}. The substantial scientific case for performing such a survey
and the additional efforts required in terms of mission preparation, operations
and telemetry are also discussed.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:40:05 GMT""},{""version"":""v2"",""created"":""Sat, 27 Oct 2001 10:48:19 GMT""}]","2015-06-24"
"astro-ph/0110145","Kristen Menou","Kristen Menou (Princeton Univ.), Eliot Quataert (IAS, UC Berkeley)","Activity From Tidal Disruptions in Galactic Nuclei","11 pages, accepted for publication in ApJL",,"10.1086/338195",,"astro-ph",,"  The tidal disruption of a star by a supermassive black hole is expected to
lead to a short bright flare followed by an extended period of low-level
emission. Existing models of the late-time accretion of the stellar debris via
a thin disk imply that the Galactic Center source Sgr A* should be brighter
than currently observed by several orders of magnitude. A similar problem
exists for M31 and M32. This problem could be avoided if thin disk accretion
transitions to low radiative efficiency accretion (e.g., ADAF, CDAF) at low
accretion rates (via ``evaporation'' of the thin disk). Alternatively, we show
that the outer portions of a thin disk may become neutral and unable to sustain
MHD turbulence on a timescale less than the time between tidal disruption
events; this may dramatically shorten the duration of the late accretion phase.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:59:43 GMT""},{""version"":""v2"",""created"":""Fri, 19 Oct 2001 21:52:39 GMT""},{""version"":""v3"",""created"":""Wed, 14 Nov 2001 23:19:00 GMT""}]","2009-11-07"
"cond-mat/0110088","Harry Bermudez","Harry Bermudez (1), Aaron K. Brannan (2), Daniel A. Hammer (1), Frank
  S. Bates (2), and Dennis E. Discher (1) ((1) School of Engineering and
  Applied Science, University of Pennsylvania and (2) Department of Chemical
  Engineering and Materials Science, University of Minnesota)","Molecular Weight Dependence of Polymersome Membrane Elasticity and
  Stability","16 pages, 5 figures, and 1 table",,"10.1021/ma020669l",,"cond-mat.soft cond-mat.mtrl-sci",,"  Vesicles prepared in water from a series of diblock copolymers and termed
""polymersomes"" are physically characterized. With increasing molecular weight
$\bar{M}_n$, the hydrophobic core thickness $d$ for the self-assembled bilayers
of polyethyleneoxide - polybutadiene (PEO-PBD) increases up to 20 $nm$ -
considerably greater than any previously studied lipid system. The mechanical
responses of these membranes, specifically, the area elastic modulus $K_a$ and
maximal areal strain $\alpha_c$ are measured by micromanipulation. As expected
for interface-dominated elasticity, $K_a$ ($\simeq$ 100 $pN/nm$) is found to be
independent of $\bar{M}_n$. Related mean-field ideas also predict a limiting
value for $\alpha_c$ which is universal and about 10-fold above that typical of
lipids. Experiments indeed show $\alpha_c$ generally increases with
$\bar{M}_n$, coming close to the theoretical limit before stress relaxation is
opposed by what might be chain entanglements at the highest $\bar{M}_n$. The
results highlight the interfacial limits of self-assemblies at the nano-scale.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 17:22:22 GMT""},{""version"":""v2"",""created"":""Fri, 22 Feb 2002 21:50:26 GMT""}]","2009-11-07"
