"astro-ph/0104162","Alessandro Melchiorri","Rachel Bean, Steen H. Hansen, Alessandro Melchiorri","Early-universe constraints on a Primordial Scaling Field","5 pages, 4 figures. The revised version includes the new Boomerang
  and DASI data","Phys.Rev.D64:103508,2001","10.1103/PhysRevD.64.103508",,"astro-ph hep-ph",,"  In the past years 'quintessence' models have been considered which can
produce the accelerated expansion in the universe suggested by recent
astronomical observations. One of the key differences between quintessence and
a cosmological constant is that the energy density in quintessence,
$\Omega_\phi$, could be a significant fraction of the overall energy even in
the early universe, while the cosmological constant will be dynamically
relevant only at late times. We use standard Big Bang Nucleosynthesis and the
observed abundances of primordial nuclides to put constraints on $\Omega_\phi$
at temperatures near $T \sim 1MeV$. We point out that current experimental data
does not support the presence of such a field, providing the strong constraint
$\Omega_\phi(MeV) < 0.045$ at $2\sigma$ C.L. and strengthening previous
results. We also consider the effect a scaling field has on CMB anisotropies
using the recent data from Boomerang and DASI, providing the CMB constraint
$\Omega_\phi \le 0.39$ at $2\sigma$ during the radiation dominated epoch.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:56:53 GMT""},{""version"":""v2"",""created"":""Mon, 28 May 2001 08:12:50 GMT""}]","2014-10-13"
"astro-ph/0104194","Vangioni-Flam Elisabeth","Elisabeth Vangioni-Flam and Michel Casse","Evolution of Lithium-Beryllium-Boron and Oxygen in the early Galaxy","invited review, IAU Symposium, JD8, Manchester, August 2000, New
  Astronomy Review, in press 6 pages 1 figure",,"10.1016/S1387-6473(01)00132-4",,"astro-ph",,"  Oxygen is a much better evolutionary index than iron to describe the history
of Lithium-Beryllium-Boron (LiBeB) since it is the main producer of these light
elements at least in the early Galaxy. The O-Fe relation is crucial to the
determination of the exact physical process responsible for the LiBeB
production. At low metallicity, if [O/Fe] vs [Fe/H] is flat, then the
production mode is independent of the interstellar metallicity, BeB is
proportional to oxygen, i.e. is of primary nature. If not, the production mode
is function of the progressive enrichment in O of the interstellar medium, BeB
varies rather as the square of O, i.e. is of secondary nature. In the first
case, fast nuclei enriched into He, C and O injected by supernovae and
accelerated in surrounding superbubbles would explain the primary trend.
  In the second case, the main spallative agent would be the standard galactic
cosmic rays. Calculated nucleosynthetic yields of massive stars, estimates of
the energy cost of production of beryllium nuclei, and above all recent
observations reported in this meeting seem to favor the primary mechanism, at
least in the early Galaxy.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 09:56:41 GMT""}]","2009-11-06"
"astro-ph/0104195","Ferdinando Patat","Ferdinando Patat and Giovanni Carraro","Star clusterings in the Carina complex: UBVRI photometry of Bochum 9, 10
  and 11","12 pages, 16 figures. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 325 (2001) 1591","10.1046/j.1365-8711.2001.04576.x",,"astro-ph",,"  We report on the first UBVRI CCD photometry of three poorly known star
clusterings in the region of Eta Carinae: Bochum9, Bochum10 and Bochum11. We
found that they are young, rather poor and loose open clusters. We argue that
Bochum9 is probably a small and loose cluster with about 30 probable members
having E(B-V)=0.63, located 4.6 kpc far from the Sun, beyond the Carina spiral
arm. Similarly, Bochum10 is a sparse aggregate with 14 probable members having
E(B-V)=0.47 and at a distance of 2.7 kpc from the Sun. Finally, Bochum11 is a
less than 4x10^6 yrs old cluster for which we identify 24 members. It has a
reddening E(B-V)=0.58, and lies between Bochum10 and 9, at 3.5 kpc from the
Sun. We propose that in the field of the cluster some stars might be pre Main
Sequence (MS) candidates.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 10:11:29 GMT""}]","2009-11-06"
"astro-ph/0104196","F. P. Israel","F.P. Israel (Sterrewacht Leiden) and F. Baas (Joint Astronomy Centre
  Hawaii and Sterrewacht Leiden)","CI and CO in the Spiral Galaxies NGC 6946 and M 83","12 pages; accepted for publication in A&A",,"10.1051/0004-6361:20010354",,"astro-ph",,"  Multitransition 12CO, 13CO and 492 GHz [CI] measurements of the late-type
spiral galaxies NGC 6946 and M 83 (NGC 5236) show pronounced molecular gas
concentrations in rapid solid-body rotation within a few hundred parsec from
both nuclei. Their 12CO, 13CO and [CI] relative intensities are nearly
identical. However, the very different [CII] intensities imply that the
physical conditions are not. The slow decrease of 12CO intensities with
increasing rotational level marks the presence of significant amounts of warm
and dense molecular gas in both galaxy centers. Detailed modelling indicates
that both galaxiy centers contain at least two distinct molecular components: a
warm and dense component with T(kin) = 30-60 K, n(H2) = 3000-10 000 cc, and a
more tenuous hotter component with T(kin) = 100-150 K, n(H2) < 1000 cc). Atomic
carbon column densities exceed CO column densities by a factor of about 1.5 in
NGC 6946 and about 4 in M 83. Unlike NGC 6946, M 83 contains a significant
amount of molecular hydrogen associated with ionized carbon rather than CO. The
centers of NGC 6946 and M 83 contain nearly identical total (atomic and
molecular) gas masses of about 3 x 10**7 M(sun). Despite their prominence, the
central gas concentrations in these galaxies represent only a few per cent of
the stellar mass in the same volume. The peak face-on gas mass density is much
higher in M 83 (120 M(sun)/pc**2) than in NGC 6946 (45 M(sun)/pc**2). The more
intense starburst in M 83 is associated with a more compact and somewhat hotter
PDR zone than the milder starburst in NGC 6946.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:02:22 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 09:55:25 GMT""}]","2009-11-06"
"astro-ph/0104197","L. E. Tacconi-Garman","R.M. Sosa-Brito, L.E. Tacconi-Garman, M.D. Lehnert (MPE), and J.F.
  Gallimore (Bucknell University)","Integral Field Near-IR Spectroscopy of a Sample of Seyfert and LINER
  Galaxies I: The Data","56 pages + 21 pages of figures, accepted for publication in ApJS.
  Full paper, including original quality figures, available at
  http://www.mpe.mpg.de/www_ir/preprint/0100011.html","Astrophys.J.Suppl. 136 (2001) 61-98","10.1086/321796",,"astro-ph",,"  We present near-IR integral field spectroscopy of a sample of 31 Seyfert and
LINER galaxies which were selected both to span a wide range of nuclear
magnitudes and to possess roughly equal numbers of Seyfert type 1 and 2 nuclei.
Moderate resolution (R~1000; R~2000 for 3 cases) integral field K-band spectra
were obtained for all 31 galaxies in our sample and for 18 galaxies (R~1000;
R~2000 for 4 cases) H-band integral field spectra were also obtained. In each
case, we present nuclear, larger aperture, and difference spectra with
corresponding information about emission line wavelengths, fluxes, and widths.
Line-free H- and K-band continuum images as well as [FeII] 1.644 micron,
Brackett-gamma, and H_2 1-0 S(1) emission lines are also presented. In
addition, we provide extensive information about each galaxy obtained from the
literature that will be useful subsequently for characterizing the sample and
for comparison with our near-IR data.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:54:13 GMT""}]","2009-11-06"
"astro-ph/0104198","Sangeeta Malhotra","Sangeeta Malhotra (JHU)","Far Infrared Spectroscopy of star-forming galaxies: Expectations for the
  Herschel Space Observatory","4 Pages, uses toledoStyle.cls, to appear in `The Promise of FIRST',
  ESA SP-460, eds. G.L. Pilbratt et al",,,,"astro-ph",,"  ISO has enabled far-infrared spectroscopy of a variety of galaxies. Using the
[CII] (158 micron) and [OI](63 micron) lines, we can characterize the physical
conditions in the star-forming ISM. These observations also form the basis of
our expectations for what the Herschel Space Observatory will observe for high
redshift galaxies. While [CII] is suppressed in ULIRGs and normal galaxies with
high dust temperatures, it is stronger than expected in metal poor galaxies by
factors of a few. Young galaxies at high redshifts might be expected to be both
metal poor and actively star-forming, leading to contrary expectations for the
[CII] line strength. The best prediction for [CII] detection is derived by
using the observed proportionality between [CII] and mid-IR emission from PAHs.
Using the observed [CII]/7 micron ratio and number counts from ISO deep surveys
we predict that HSO will be able to detect 100 sources/square-degree in the
[CII] line.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 15:30:03 GMT""}]","2007-05-23"
"astro-ph/0104199","Wynn C. G. Ho","Wynn C. G. Ho, Dong Lai (Cornell)","Atmospheres and Spectra of Strongly Magnetized Neutron Stars","29 pages, 11 figures; corrected factor of 2 in He models: minor
  changes to figs 4 and 9 as a result; other very minor changes","Mon.Not.Roy.Astron.Soc.327:1081,2001","10.1046/j.1365-8711.2001.04801.x",,"astro-ph",,"  We construct atmosphere models for strongly magnetized neutron stars with
surface fields $B\sim 10^{12}-10^{15}$ G and effective temperatures $T_{\rm
eff}\sim 10^6-10^7$ K. The atmospheres directly determine the characteristics
of thermal emission from isolated neutron stars, including radio pulsars, soft
gamma-ray repeaters, and anomalous X-ray pulsars. In our models, the atmosphere
is composed of pure hydrogen or helium and is assumed to be fully ionized. The
radiative opacities include free-free absorption and scattering by both
electrons and ions computed for the two photon polarization modes in the
magnetized electron-ion plasma. Since the radiation emerges from deep layers in
the atmosphere with $\rho\ga 10^2$ g/cm$^3$, plasma effects can significantly
modify the photon opacities by changing the properties of the polarization
modes. In the case where the magnetic field and the surface normal are
parallel, we solve the full, angle-dependent, coupled radiative transfer
equations for both polarization modes. We also construct atmosphere models for
general field orientations based on the diffusion approximation of the
transport equations and compare the results with models based on full radiative
transport. In general, the emergent thermal radiation exhibits significant
deviation from blackbody, with harder spectra at high energies. The spectra
also show a broad feature ($\Delta E/\Ebi\sim 1$) around the ion cyclotron
resonance $\Ebi=0.63 (Z/A)(B/10^{14}{G})$ keV, where $Z$ and $A$ are the atomic
charge and atomic mass of the ion, respectively; this feature is particularly
pronounced when $\Ebi\ga 3k\Teff$. Detection of the resonance feature would
provide a direct measurement of the surface magnetic fields on magnetars.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 15:36:22 GMT""},{""version"":""v2"",""created"":""Sun, 8 Jul 2001 18:21:07 GMT""},{""version"":""v3"",""created"":""Thu, 22 Nov 2001 20:46:49 GMT""}]","2008-11-26"
"cond-mat/0104181","A. Rosch","A. Rosch","Transport in Quasi One-Dimensional Systems","talk given at the spring meeting of the DPG 2001, to be published in
  Advances in Solid State Physics, 41","Advances in Solid States Physics 41, 187 (2001).",,,"cond-mat.str-el",,"  The interplay of Umklapp scattering from a periodic potential and other
scattering processes determine the conductivity of (quasi) one-dimensional
metals. We show that the transport at finite temperature is qualitatively and
quantitatively strongly influenced by a number of approximate conservation
laws. Typically, not the strongest but the second strongest scattering
mechanism determines the dc-conductivity. We discuss the optical conductivity
both of strongly anisotropic, quasi one-dimensional Fermi liquids and of
Luttinger liquids.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 16:46:39 GMT""}]","2007-05-23"
"cond-mat/0104182","Jose M. Soler","Jose M. Soler","Efficient index handling of multidimensional periodic boundary
  conditions","2 pages, 0 figures","Appendix C in J.Phys:Condens.Matter 14 (2002) 2745","10.1088/0953-8984/14/11/302",,"cond-mat.mtrl-sci",,"  An efficient method is described to handle mesh indexes in multidimensional
problems like numerical integration of partial differential equations, lattice
model simulations, and determination of atomic neighbor lists. By creating an
extended mesh, beyond the periodic unit cell, the stride in memory between
equivalent pairs of mesh points is independent of their position within the
cell. This allows to contract the mesh indexes of all dimensions into a single
index, avoiding modulo and other implicit index operations.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 18:21:02 GMT""}]","2015-06-24"
"cond-mat/0104183","J. Kaupuzs","J. Kaupuzs","Critical exponents predicted by grouping of Feynman diagrams in phi^4
  model","34 pages, 6 figures","Annalen Phys. 10 (2001) 299-331","10.1002/1521-3889(200104)10:4<299::AID-ANDP299>3.0.CO;2-J",,"cond-mat.stat-mech",,"  Different perturbation theory treatments of the Ginzburg-Landau phase
transition model are discussed. This includes a criticism of the perturbative
renormalization group (RG) approach and a proposal of a novel method providing
critical exponents consistent with the known exact solutions in two dimensions.
The usual perturbation theory is reorganized by appropriate grouping of Feynman
diagrams of phi^4 model with O(n) symmetry. As a result, equations for
calculation of the two-point correlation function are obtained which allow to
predict possible exact values of critical exponents in two and three dimensions
by proving relevant scaling properties of the asymptotic solution at (and near)
the criticality. The new values of critical exponents are discussed and
compared to the results of numerical simulations and experiments.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 18:09:23 GMT""}]","2017-09-27"
"cond-mat/0104184","Donavan Hall","Donavan Hall (1), D. P. Young (1,2), Z. Fisk (1), T. P. Murphy (1), E.
  C. Palm (1), and A. Teklu (2,3), R. G. Goodrich (2) ((1)National High
  Magnetic Field Laboratory, (2) Louisiana State University, (3) National
  Center for Physical Acoustics)","Fermi Surface Measurements on the Low Carrier Density Ferromagnet
  Ca1-xLaxB6 and SrB6","4 pages, 5 figures, submitted to PRL","Physical Review B 64 233105 (2001)","10.1103/PhysRevB.64.233105",,"cond-mat",,"  Recently it has been discovered that weak ferromagnetism of a dilute 3D
electron gas develops on the energy scale of the Fermi temperature in some of
the hexaborides; that is, the Curie temperature approximately equals the Fermi
temperature. We report the results of de Haas-van Alphen experiments on two
concentrations of La-doped CaB6 as well as Ca-deficient Ca1-dB6 and
Sr-deficient Sr1-dB6. The results show that a Fermi surface exists in each case
and that there are significant electron-electron interactions in the low
density electron gas.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 18:52:52 GMT""}]","2009-11-07"
"cond-mat/0104185","A. Alan Middleton","A. Alan Middleton","Critical slowing down in polynomial time algorithms","4 pp., 3 figs","Physical Review Letters 88, 017202 (2002)","10.1103/PhysRevLett.88.017202",,"cond-mat.dis-nn",,"  Combinatorial optimization algorithms which compute exact ground state
configurations in disordered magnets are seen to exhibit critical slowing down
at zero temperature phase transitions. Using arguments based on the physical
picture of the model, including vanishing stiffness on scales beyond the
correlation length and the ground state degeneracy, the number of operations
carried out by one such algorithm, the push-relabel algorithm for the random
field Ising model, can be estimated. Some scaling can also be predicted for the
2D spin glass.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 19:30:40 GMT""},{""version"":""v2"",""created"":""Wed, 11 Apr 2001 00:38:06 GMT""}]","2009-11-07"
"cond-mat/0104186","Maricarmen Asensio","J.F. Sanchez-Royo, J. Avila, V. Perez-Dieste, M. de Seta, M.C. Asensio","Two-domains bulklike Fermi surface of Ag films deposited onto
  Si(111)-(7x7)","10 pages, 12 figures, submitted to Physical Review B",,"10.1103/PhysRevB.66.035401",,"cond-mat.mtrl-sci",,"  Thick metallic silver films have been deposited onto Si(111)-(7x7) substrates
at room temperature. Their electronic properties have been studied by using
angle resolved photoelectron spectroscopy (ARPES). In addition to the
electronic band dispersion along the high-symmetry directions, the Fermi
surface topology of the grown films has been investigated. Using ARPES, the
spectral weight distribution at the Fermi level throughout large portions of
the reciprocal space has been determined at particular perpendicular
electron-momentum values. Systematically, the contours of the Fermi surface of
these films reflected a sixfold symmetry instead of the threefold symmetry of
Ag single crystal. This loss of symmetry has been attributed to the fact that
these films appear to be composed by two sets of domains rotated 60$^o$ from
each other. Extra, photoemission features at the Fermi level were also
detected, which have been attributed to the presence of surface states and
\textit{sp}-quantum states. The dimensionality of the Fermi surface of these
films has been analyzed studying the dependence of the Fermi surface contours
with the incident photon energy. The behavior of these contours measured at
particular points along the Ag $\Gamma$L high-symmetry direction puts forward
the three-dimensional character of the electronic structure of the films
investigated.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 00:13:28 GMT""}]","2009-11-07"
"cond-mat/0104187","Tsunehiro Kobayashi","Tsunehiro Kobayashi","Vortex Lattices in Quantum Mechanics","13 pages",,"10.1016/S0378-4371(01)00501-5",,"cond-mat.supr-con cond-mat.mes-hall",,"  Vortex lattices are constructed in terms of linear combinations of solutions
for Scr\""{o}dinger equation with a constant potential. The vortex lattices are
mapped on the spaces with two-dimensional rotationally symmetric potentials by
using conformal mappings and the differences of the mapped vortex-patterns are
examined. The existence of vortex dipole and quadrupole is also pointed out.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 00:28:51 GMT""}]","2016-08-31"
"cond-mat/0104188","Eli Barkai","Eli Barkai, YounJoon Jung, and Robert Silbey","Photon Counting Statistics for Single Molecule Spectroscopy",,,,,"cond-mat.stat-mech cond-mat.mes-hall",,"  We present a general relation between Mandel's $Q$ parameter describing
variance of number of photons emitted from a single molecule and a three time
correlation function describing a spectral diffusion process the molecule is
undergoing. For a prototype of such a stochastic process an exact solution is
found which exhibits rich types of physical behaviors.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 00:55:47 GMT""}]","2007-05-23"
"cond-mat/0104189","Maricarmen Asensio","A. Arranz, J.F. Sanchez-Royo, J. Avila, V. Perez-Dieste, P. Dumas,
  M.C. Asensio","Electronic properties and Fermi surface of Ag(111) films deposited onto
  H-passivated Si(111)-(1x1) surfaces","9 pages, 8 figures, submitted to Physical Review B",,"10.1103/PhysRevB.65.075405",,"cond-mat.mtrl-sci",,"  Silver films were deposited at room temperature onto H-passivated Si(111)
surfaces. Their electronic properties have been analyzed by angle-resolved
photoelectron spectroscopy. Submonolayer films were semiconducting and the
onset of metallization was found at a Ag coverage of $\sim$0.6 monolayers. Two
surface states were observed at $\bar{\Gamma}$-point in the metallic films,
with binding energies of 0.1 and 0.35 eV. By measurements of photoelectron
angular distribution at the Fermi level in these films, a cross-sectional cut
of the Fermi surface was obtained. The Fermi vector determined along different
symmetry directions and the photoelectron lifetime of states at the Fermi level
are quite close to those expected for Ag single crystal. In spite of this
concordance, the Fermi surface reflects a sixfold symmetry rather than the
threefold symmetry of Ag single crystal. This behavior was attributed to the
fact that these Ag films are composed by two domains rotated 60$^o$.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 01:03:30 GMT""}]","2009-11-07"
"cond-mat/0104190","Mikrajuddin Abdullah","Mikrajuddin, I. Wuled Lenggoro, and Kikuo Okuyama","A unified model for temperature dependent electrical conduction in
  polymer electrolytes","13 pages, 2 figures",,,,"cond-mat.mtrl-sci",,"  The observed temperature dependence of electrical conduction in polymer
electrolytes is usually fitted with two separated equations: an Arrhenius
equation at low temperatures and Vogel-Tamman-Fulcher (VTF) at high
temperatures. We report here a derivation of a single equation to explain the
variation of electrical conduction in polymer electrolytes at all temperature
ranges. Our single equation is in agreement with the experimental data
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 06:20:56 GMT""}]","2007-05-23"
"cond-mat/0104191","Peter Olmsted","J.L. Goveas and P.D. Olmsted","A Minimal Model for Vorticity and Gradient Banding in Complex Fluids","11 pages, submitted to Eur Phys J E","European Physical Journal E 6 (2001) 79-89","10.1007/s101890170030",,"cond-mat.soft",,"  A general phenomenological reaction-diffusion model for flow-induced phase
transitions in complex fluids is presented. The model consists of an equation
of motion for a nonconserved composition variable, coupled to a Newtonian
stress relations for the reactant and product species. Multivalued reaction
terms allow for different homogeneous phases to coexist with each other,
resulting in banded composition and shear rate profiles. The one-dimensional
equation of motion is evolved from a random initial state to its final
steady-state. We find that the system chooses banded states over homogeneous
states, depending on the shape of the stress constitutive curve and the
magnitude of the diffusion coefficient. Banding in the flow gradient direction
under shear rate control is observed for shear-thinning transitions, while
banding in the vorticity direction under stress control is observed for
shear-thickening transitions.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 06:32:38 GMT""}]","2009-11-07"
"cond-mat/0104192","Jan Kolacek","Pavel Lipavsky, Jan Kolacek, Jiri J. Mares, Klaus Morawetz","Bernoulli potential at a superconductor surface","2 pages",,"10.1103/PhysRevB.65.012507",,"cond-mat.supr-con",,"  The electrostatic Bernoulli potential measured at the surface of a
superconductor via Kelvin capacitive coupling is shown to be independent of the
pairing mechanism. This contrasts with the Bernoulli potential in the bulk
where contributions due to pairing dominate close to $T_c$.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 07:50:03 GMT""},{""version"":""v2"",""created"":""Fri, 14 Sep 2001 07:23:35 GMT""}]","2009-11-07"
"cond-mat/0104193","Alain Sewer","Alain Sewer and Hans Beck","Fluctuating diamagnetism in underdoped high temperature superconductors","12 pages, 4 figures included, accepted for publication in PRB",,"10.1103/PhysRevB.64.014510",,"cond-mat.supr-con",,"  The fluctuation induced diamagnetism of underdoped high temperature
superconductors is studied in the framework of the Lawrence-Doniach model. By
taking into account the fluctuations of the phase of the order parameter only,
the latter reduces to a layered XY-model describing a liquid of vortices which
can be either thermally excited or induced by the external magnetic field. The
diamagnetic response is given by a current-current correlation function which
is evaluated using the Coulomb gas analogy. Our results are then applied to
recent measurements of fluctuation diamagnetism in underdoped YBCO. They allow
to understand both the observed anomalous temperature dependence of the
zero-field susceptibility and the two distinct regimes appearing in the
magnetic field dependence of the magnetization.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 10:22:09 GMT""}]","2009-11-07"
"cond-mat/0104194","Jose Lages","J. Lages and D. L. Shepelyansky (CNRS, Toulouse)","Phase of bi-particle localized states for the Cooper problem in
  two-dimensional disordered systems","revtex, 7 pages, 8 figures",,"10.1103/PhysRevB.64.094502",,"cond-mat",,"  The Cooper problem is studied numerically for the Anderson model with
disorder in two-dimensions. It is shown that the attractive Hubbard interaction
creates a phase of bi-particle localized states in the regime where
non-interacting states are delocalized. This phase cannot be obtained in the
mean-field approximation and the pair coupling energy is strongly enhanced in
this regime. The effects of magnetic field are studied and it is shown that
under certain conditions they lead to delocalization.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 10:22:20 GMT""}]","2009-11-07"
"cond-mat/0104195","Peter Gurin","Peter Gurin and Zsolt Gulacsi","Exact solutions for the periodic Anderson model in 2D: A Non-Fermi
  liquid state in normal phase","46 pages, 2 ps files, to be published in Phys. Rev. B",,"10.1103/PhysRevB.64.045118",,"cond-mat.str-el",,"  Presenting exact solutions for the two dimensional periodic Anderson model
with finite and nonzero on-site interaction U>0, we are describing a rigorous
non-Fermi liquid phase in normal phase and 2D. This new state emerges in
multi-band interacting Fermi systems above half filling, being generated by a
flat band effect. The momentum distribution function n_k together with its
derivatives of any order is continuous. The state possesses a well defined
Fermi energy, but the Fermi momentum concept is not definable, so the Fermi
surface in k-space is missing. The state emerges in the vicinity of a Mott
insulating phase when lattice distortions are present, is highly degenerated
and paramagnetic. A gap is present at high U in the density of low lying
excitations. During low lying excitations, quasi-particles are not created
above the Fermi level, only the number of particles at the Fermi energy
increases.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 10:05:35 GMT""}]","2009-11-07"
"cond-mat/0104196","Vahid Karimipour","V. Karimipour, B.H. Seradjeh","A new class of models for surface relaxation with exact mean-field
  solutions","12 pages, 3 figures,references added","Europhys. Lett. 57, 658 (2002)","10.1209/epl/i2002-00513-x",,"cond-mat.stat-mech",,"  We introduce a class of discrete models for surface relaxation. By exactly
solving the master equation which governs the microscopic dynamics of the
surface, we determine the steady state of the surface and calculate its
roughness. We will also map our model to a diffusive system of particles on a
ring and reinterpret our results in this new setting.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:14:30 GMT""},{""version"":""v2"",""created"":""Sat, 28 Apr 2001 08:47:21 GMT""}]","2011-08-08"
"cond-mat/0104197","Tibor Antal","Tibor Antal, Michel Droz, Adam Lipowski, and Geza Odor","On the critical behavior of a lattice prey-predator model","6 RevTex pages, 7 ps figures","Phys. Rev. E 64, 036118 (2001)","10.1103/PhysRevE.64.036118",,"cond-mat.stat-mech q-bio.PE",,"  The critical properties of a simple prey-predator model are revisited. For
some values of the control parameters, the model exhibits a line of directed
percolation like transitions to a single absorbing state. For other values of
the control parameters one finds a second line of continuous transitions toward
infinite number of absorbing states, and the corresponding steady-state
exponents are mean-field like. The critical behavior of the special point T
(bicritical point), where the two transition lines meet, belongs to a different
universality class. The use of dynamical Monte-Carlo method shows that a
particular strategy for preparing the initial state should be devised to
correctly describe the physics of the system near the second transition line.
Relationships with a forest fire model with immunization are also discussed.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:18:29 GMT""}]","2009-11-07"
"cond-mat/0104198","Werner Krauth","Alberto Rosso and Werner Krauth","Origin of the roughness exponent in elastic strings at the depinning
  threshold","4 pages, 2 figures","Phys. Rev. Lett. 87,187002 (2001)","10.1103/PhysRevLett.87.187002",,"cond-mat.dis-nn",,"  Within a recently developed framework of dynamical Monte Carlo algorithms, we
compute the roughness exponent $\zeta$ of driven elastic strings at the
depinning threshold in 1+1 dimensions for different functional forms of the
(short-range) elastic energy. A purely harmonic elastic energy leads to an
unphysical value for $\zeta$. We include supplementary terms in the elastic
energy of at least quartic order in the local extension. We then find a
roughness exponent of $\zeta \simeq 0.63$, which coincides with the one
obtained for different cellular automaton models of directed percolation
depinning. The quartic term translates into a nonlinear piece which changes the
roughness exponent in the corresponding continuum equation of motion. We
discuss the implications of our analysis for higher-dimensional elastic
manifolds in disordered media.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 11:32:13 GMT""}]","2009-11-07"
"cond-mat/0104199","Nilanjana Datta","Nilanjana Datta and Tom Kennedy","Expansions for one quasiparticle states in spin 1/2 systems","22 pages","J. Stat. Phys., vol. 108, 2002, pages 373-399",,,"cond-mat.stat-mech math-ph math.MP",,"  Convergent expansions of the wavefunctions for the ground state and low-lying
excited states of quantum transverse Ising systems are obtained. These
expansions are employed to prove that the dispersion relation for a single
quasi-particle has a convergent expansion.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:23:53 GMT""},{""version"":""v2"",""created"":""Fri, 17 Jan 2003 11:42:47 GMT""}]","2007-05-23"
"cond-mat/0104200","D. Fedorets","D. Fedorets, L.Y. Gorelik, R.I. Shekhter, M. Jonson","Vibrational Instability due to Coherent Tunneling of Electrons","5 pages, 3 figures","Europhys. Lett., 58 (1), pp. 99-104 (2002)","10.1209/epl/i2002-00611-3","APR 2001-13 CMT","cond-mat.mes-hall cond-mat.soft",,"  Effects of a coupling between the mechanical vibrations of a quantum dot
placed between the two leads of a single electron transistor and coherent
tunneling of electrons through a single level in the dot has been studied. We
have found that for bias voltages exceeding a certain critical value a
dynamical instability occurs and mechanical vibrations of the dot develop into
a stable limit cycle. The current-voltage characteristics for such a transistor
were calculated and they seem to be in a reasonably good agreement with recent
experimental results for the single $C_{60}$-molecule transistor by Park et
al.(Nature {\bf 407,} (2000) 57).
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 13:53:40 GMT""},{""version"":""v2"",""created"":""Wed, 27 Jun 2001 13:30:34 GMT""},{""version"":""v3"",""created"":""Fri, 26 Apr 2002 12:03:07 GMT""}]","2009-11-07"
"cond-mat/0104201","Marco Baiesi","Marco Baiesi, Enzo Orlandini, Attilio L. Stella","Peculiar scaling of self-avoiding walk contacts","4 pages, 5 Postscript figures, uses psfig.sty; some sentences
  clarified","Phys. Rev. Lett. 87, 070602 (2001)","10.1103/PhysRevLett.87.070602","DFPD-01/CM/14","cond-mat.stat-mech",,"  The nearest neighbor contacts between the two halves of an N-site lattice
self-avoiding walk offer an unusual example of scaling random geometry: for N
going to infinity they are strictly finite in number but their radius of
gyration Rc is power law distributed, ~ Rc^{-\tau}, where \tau>1 is a novel
exponent characterizing universal behavior. A continuum of diverging lengths
scales is associated to the Rc distribution. A possibly super-universal \tau=2
is also expected for the contacts of a self-avoiding or random walk with a
confining wall.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 14:42:15 GMT""},{""version"":""v2"",""created"":""Thu, 31 May 2001 11:07:52 GMT""}]","2007-05-23"
"cond-mat/0104202","Bernhard Mehlig","V. Uski, B. Mehlig, and M. Schreiber","Signature of ballistic effects in disordered conductors","4 pages, 4 figures, to appear in Phys. Rev. B (Rapid Communications)","Phys. Rev. B 63, 241101 (2001)","10.1103/PhysRevB.63.241101",,"cond-mat.dis-nn",,"  Statistical properties of energy levels, wave functions and
quantum-mechanical matrix elements in disordered conductors are usually
calculated assuming diffusive electron dynamics. Mirlin has pointed out [Phys.
Rep. 326, 259 (2000)] that ballistic effects may, under certain circumstances,
dominate diffusive contributions. We study the influence of such ballistic
effects on the statistical properties of wave functions in quasi-one
dimensional disordered conductors. Our results support the view that ballistic
effects can be significant in these systems.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 14:46:08 GMT""}]","2009-11-07"
