"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"astro-ph/0111593","Panayotis Boumis","F. Mavromatakis (1), P. Boumis (1), and E.V. Paleologou (2) ((1)
  Department of Physics, University of Crete (Greece), (2) Foundation for
  Research and Technology-Hellas (Greece))","Optical observations of the supernova remnant AX J2001+3235","3 pages, 3 figures, to appear in the proceedings of the 5th Hellenic
  Astronomical Conference, held in Fodele, Crete (Greece), 20-22 September 2001",,,,"astro-ph",,"  We present results from a first analysis of optical data on G 69.4+2.4
obtained with the 0.3 m and 1.3 m telescopes at Skinakas Observatory.
Filamentary emission is detected in the [OIII] 5007 A and Halpha+[NII] images
oriented in the south-west, north-east direction. The Halpha+[NII] images
reveal a complex network of filaments, while the [OIII] images show a single
filament. Low resolution spectra were also obtained which identify the observed
emission as emission from shock heated gas.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:41:09 GMT""}]","2007-05-23"
"cond-mat/0111552","Blas Echebarria","Blas Echebarria and Alain Karma","Instability and Spatiotemporal Dynamics of Alternans in Paced Cardiac
  Tissue","4 pages, 3 figures, submitted to PRL",,"10.1103/PhysRevLett.88.208101",,"cond-mat.stat-mech cond-mat.soft q-bio.TO",,"  We derive an equation that governs the spatiotemporal dynamics of small
amplitude alternans in paced cardiac tissue. We show that a pattern-forming
linear instability leads to the spontaneous formation of stationary or
traveling waves whose nodes divide the tissue into regions with opposite phase
of oscillation of action potential duration. This instability is important
because it creates dynamically an heterogeneous electrical substrate for
inducing fibrillation if the tissue size exceeds a fraction of the pattern
wavelength. We compute this wavelength analytically as a function of three
basic length scales characterizing dispersion and inter-cellular electrical
coupling.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 19:43:17 GMT""}]","2009-11-07"
"cond-mat/0111553","George Kastrinakis","George Kastrinakis","Interface roughness and planar doping in superlattices: weak
  localization effects","4 pages","Solid State Communications 125, 533 (2003)","10.1016/S0038-1098(03)00003-6",,"cond-mat.dis-nn cond-mat.mtrl-sci",,"  We examine the effects of interface roughness and/or planar impurity doping
in a superlattice, in the frame of a weak disorder description. We find that
these two types of disorder are equivalent, and that they can be viewed as
effective ""bulk"" disorder, with anisotropic diffusion coefficients. Our results
offer quantitative insight to transport properties of multilayers and devices,
which contain inadvertently structural disorder at the interfaces.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:16:54 GMT""}]","2015-06-24"
"cond-mat/0111564","Fabio Taddei","Fabio Taddei and Rosario Fazio","Positive cross-correlations induced by ferromagnetic contacts","6 pages, 5 figures; accepted version by PRB, figures replaced","Phys. Rev. B 65, 134522 (2002)","10.1103/PhysRevB.65.134522",,"cond-mat.mes-hall",,"  Due to the Fermionic nature of carriers, correlations between electric
currents flowing through two different contacts attached to a conductor present
a negative sign. Possibility for positive cross-correlations has been
demonstrated in hybrid normal/superconductor structures under certain
conditions. In this paper we show that positive cross-correlations can be
induced, if not already present, in such structures by employing ferromagnetic
leads with magnetizations aligned anti-parallel to each other. We consider
three-terminal hybrid structures and calculate the mean-square correlations of
current fluctuations as a function of the bias voltage at finite temperature.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:12:31 GMT""},{""version"":""v2"",""created"":""Fri, 22 Feb 2002 08:19:25 GMT""}]","2009-11-07"
"cond-mat/0111565","Groep tvs","V. N. Gladilin, V. M. Fomin, J. T. Devreese (TFVS, Universiteit
  Antwerpen - UIA)","Shape of nanosize superconducting grains: Does it influence pairing
  characteristics?","13 pages, 5 figures, to be published in Solid State Communications,
  E-mail addresses: devreese@uia.ua.ac.be, fomin@uia.ua.ac.be,
  gladilin@uia.ua.ac.be",,"10.1016/S0038-1098(01)00512-9","TFVS-2001-13","cond-mat.supr-con",,"  The Richardson exact solution for the reduced BCS Hamiltonian is applied to
examine how sensitive are the pairing characteristics (condensation energy,
spectroscopic gap, parity gap) to a specific configuration of single-electron
energy levels in nanosize metallic grains. Using single-electron energy spectra
in parallelepiped-shaped potential boxes with various volumes and aspect ratios
as a model of energy levels in grains, we show that this sensitivity is
extremely high. Just due to such an extreme sensitivity, the detailed shape of
grains cannot be detected through the pairing characteristics, averaged over an
ensemble of grains, even in the case of relatively small size dispersion within
this ensemble. We analyse the effect of the pairing interaction on the
excited-level spacings in superconducting grains and comment on the influence
of shape-dependent fluctuations in single-electron energy spectra on the
possibility to reveal this effect through tunnelling measurements.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:26:08 GMT""}]","2009-11-07"
"cond-mat/0111566","Vladimir L. Safonov","Vladimir L. Safonov","Tensor form of magnetization damping","Paper HA-03 presented at MMM'01, to be published in J. Appl. Phys",,"10.1063/1.1448794",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  A tensor form of phenomenological damping is derived for small magnetization
motions. This form reflects basic physical relaxation processes for a general
uniformly magnetized particle or film. Scalar Landau-Lifshitz damping is found
to occur only for two special cases of system symmetry.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:45:11 GMT""}]","2009-11-07"
"cond-mat/0111567","Anders Levermann","H. George E. Hentschel, Anders Levermann, Itamar Procaccia","Transition in the Fractal Properties from Diffusion Limited Aggregation
  to Laplacian Growth via their Generalization","accepted for PRE. For a version with qualitatively better figures
  see: http://www.weizmann.ac.il/chemphys/anders/",,"10.1103/PhysRevE.66.016308",,"cond-mat.stat-mech cond-mat.mtrl-sci nlin.CD",,"  We study the fractal and multifractal properties (i.e. the generalized
dimensions of the harmonic measure) of a 2-parameter family of growth patterns
that result from a growth model that interpolates between Diffusion Limited
Aggregation (DLA) and Laplacian Growth Patterns in 2-dimensions. The two
parameters are \beta which determines the size of particles accreted to the
interface, and C which measures the degree of coverage of the interface by each
layer accreted to the growth pattern at every growth step. DLA and Laplacian
Growth are obtained at \beta=0, C=0 and \beta=2, C=1, respectively. The main
purpose of this paper is to show that there exists a line in the \beta-C phase
diagram that separates fractal (D<2) from non-fractal (D=2) growth patterns.
Moreover, Laplacian Growth is argued to lie in the non-fractal part of the
phase diagram. Some of our arguments are not rigorous, but together with the
numerics they indicate this result rather strongly. We first consider the
family of models obtained for \beta=0, C>0, and derive for them a scaling
relation D=2 * D_3. We then propose that this family has growth patterns for
which D=2 for some C>C_{cr}, where C_{cr} may be zero. Next we consider the
whole \beta-C phase diagram and define a line that separates 2-dimensional
growth patterns from fractal patterns with D<2. We explain that Laplacian
Growth lies in the region belonging to 2-dimensional growth patterns,
motivating the main conjecture of this paper, i.e. that Laplacian Growth
patterns are 2-dimensional. The meaning of this result is that the branches of
Laplacian Growth patterns have finite (and growing) area on scales much larger
than any ultra-violet cut-off length.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:55:36 GMT""},{""version"":""v2"",""created"":""Mon, 6 May 2002 18:02:19 GMT""}]","2009-11-07"
"cond-mat/0111568","Zdenek Pluhar","Z. Pluhar (Charles University, Prague, Czech Republic) and H. A.
  Weidenmueller (Max-Planck-Institut fuer Kernphysik, Heidelberg, Germany)","Symmetry Properties of the k-Body Embedded Unitary Ensemble of Random
  Matrices","LaTeX2e, 30 pages, 14 references",,"10.1006/aphy.2002.6248",,"cond-mat",,"  We extend the recent study of the k-body embedded Gaussian ensembles by Benet
et al. (Phys. Rev. Lett. 87 (2001) 101601-1 and Ann. Phys. 292 (2001) 67) and
by Asaga et al. (cond-mat/0107363 and cond-mat/ 0107364). We show that central
results of these papers can be derived directly from the symmetry properties of
both, the many-particle states and the random k-body interaction. We offer new
insight into the structure of the matrix of second moments of the embedded
ensemble, and of the supersymmetry approach. We extend the concept of the
embedded ensemble and define it purely group-theoretically.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 21:03:10 GMT""}]","2015-06-24"
"cond-mat/0111569","Priya Mahadevan","Priya Mahadevan (1), K. Terakura (2) and D.D. Sarma (3) ((1) JRCAT-ATP
  and AIST, Tsukuba (2) JRCAT-NAIR and RICS-AIST, Tsukuba, (3) SSCU, IISc,
  Bangalore)","On charge and orbital ordering in La0.5Sr1.5MnO4","Includes 2 figures; Presented at the 4th Asian Workshop on Electronic
  Structure Calculations, Taiwan; More detailed paper published in Phys. Rev.
  Lett. {\bf 87}, 066404 (2001)",,"10.1103/PhysRevLett.87.066404",,"cond-mat.str-el",,"  Using first principle band structure calculations, we critically examine
results of resonant x-ray scattering experiments which is believed to directly
probe charge and orbital ordering. Considering the specific case of
La0.5Sr1.5MnO4, we show that this technique actually probes most directly and
sensitively small structural distortions in the system. Such distortions, often
difficult to detect with more conventional techniques, invariably accompany and
usually cause the orbital and charge orderings. In this sense, this technique
is only an indirect probe of such types of ordering. Our results also provide a
microscopic explanation of the novel types of charge and orbital ordering
realized in this system and other doped manganites.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 22:00:45 GMT""}]","2015-06-24"
"cond-mat/0111570","Priya Mahadevan","Priya Mahadevan and Alex Zunger (NREL Golden CO)","Origin of room-temperature ferromagnetism in Mn doped semiconducting
  CdGeP2","4 pages, 4 figures. (To appear in Phys. Rev. Lett.)",,"10.1103/PhysRevLett.88.047205",,"cond-mat.str-el",,"  CdGeP2 chalcopyrites doped with Mn have been recently found to exhibit room
temperature ferromagnetism. Isovalent substitution of the Cd site is expected,
however, to create antiferromagnetism, in analogy with the well-known CdTe:Mn
(d^5) case. However, chalcopyrite semiconductors exhibit low-energy intrinsic
defects. We show theoretically how ferromagnetism results from the interaction
of Mn with hole-producing intrinsic defects.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 22:34:56 GMT""}]","2009-11-07"
"cond-mat/0111571","Deborah S. Jin","T. Loftus, C. A. Regal, C. Ticknor, J. L. Bohn, D. S. Jin","Resonant control of elastic collisions in an optically trapped Fermi gas
  of atoms","4 pages, 3 figures",,"10.1103/PhysRevLett.88.173201",,"cond-mat.stat-mech",,"  We have loaded an ultracold gas of fermionic atoms into a far off resonance
optical dipole trap and precisely controlled the spin composition of the
trapped gas. We have measured a magnetic-field Feshbach resonance between atoms
in the two lowest energy spin-states, |9/2, -9/2> and |9/2, -7/2>. The
resonance peaks at a magnetic field of 201.5 plus or minus 1.4 G and has a
width of 8.0 plus or minus 1.1 G. Using this resonance we have changed the
elastic collision cross section in the gas by nearly 3 orders of magnitude.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 22:49:21 GMT""}]","2009-11-07"
"cond-mat/0111572","Robert Haslinger","R. Haslinger, Ar. Abanov and A. Chubukov","ARPES in the normal state of the cuprates: comparing the marginal Fermi
  liquid and spin fluctuation scenarios","Accepted for publication in Europhysics Letters, Incorrect
  interpretation of reference 10 corrected",,"10.1209/epl/i2002-00633-9",,"cond-mat.supr-con",,"  We address the issue whether ARPES measurements of the spectral function $A_k
(\omega)$ near the Fermi surface in the normal state of near optimally doped
cuprates can distinguish between the marginal Fermi liquid scenario and the
spin-fluctuation scenario. We argue that the data for momenta near the Fermi
surface are equally well described by both theories, but this agreement is
nearly meaningless as in both cases one has to add to $\Sigma^{\prime \prime}
(\omega)$ a large constant of yet unknown origin. We show that the data can be
well fitted by keeping only this constant term in the self-energy. To
distinguish between the two scenarios, one has to analyze the data away from
the Fermi surface, when the intrinsic piece in $\Sigma (\omega)$ becomes
dominant.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 23:29:21 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jan 2002 21:21:59 GMT""}]","2009-11-07"
"cond-mat/0111573","Grant Leonard Salmond","G.L. Salmond, C.A. Holmes, G.J. Milburn","The dynamics of a strongly driven two component Bose-Einstein Condensate",,,"10.1103/PhysRevA.65.033623",,"cond-mat",,"  We consider a two component Bose-Einstein condensate in two spatially
localized modes of a double well potential, with periodic modulation of the
tunnel coupling between the two modes. We treat the driven quantum field using
a two mode expansion and define the quantum dynamics in terms of the Floquet
Operator for the time periodic Hamiltonian of the system. It has been shown
that the corresponding semiclassical mean-field dynamics can exhibit regions of
regular and chaotic motion. We show here that the quantum dynamics can exhibit
dynamical tunneling between regions of regular motion, centered on fixed points
(resonances) of the semiclassical dynamics.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:47:19 GMT""}]","2009-11-07"
"cond-mat/0111574","Jonas Fransson","J. Fransson, O. Eriksson, B. Johansson, I. Sandalov","On the non-orthogonality problem in the description of quantum devices","3 pages, 1 table, 1 figure","Physica B 272 28-30 (1999)","10.1016/S0921-4526(99)00343-9",,"cond-mat.mes-hall",,"  An approach which allows to include the corrections from non-orthogonality of
electron states in contacts and quantum dots is developed. Comparison of the
energy levels and charge distributions of electrons in 1D quantum dot (QD) in
equilibrium, obtained within orthogonal (OR) and non-orthogonal representations
(NOR), with the exact ones shows that the NOR provides a considerable
improvement, for levels below the top of barrier. The approach is extended to
non-equilibrium states. A derivation of the tunneling current through a single
potential barrier is performed using equations of motion for correlation
functions. A formula for transient current derived by means of the diagram
technique for Hubbard operators is given for the problem of QD with strongly
correlated electrons interacting with electrons in contacts. The
non-orthogonality renormalizes the tunneling matrix elements and spectral
weights of Green functions (GFs).
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 07:58:40 GMT""}]","2009-11-07"
"cond-mat/0111575","Jonas Fransson","J. Fransson, O. Eriksson, and I. Sandlov","Effects of nonorthogonality in the time-dependent current through tunnel
  junctions","4 pages, 1 table, 1 figure","Phys. Rev. B 64 153403 (2001) (Brief Reports)","10.1103/PhysRevB.64.153403",,"cond-mat.mes-hall",,"  A theoretical technique which allows to include contributions from
non-orthogonality of the electron states in the leads connected to a tunneling
junction is derived. The theory is applied to a single barrier tunneling
structure and a simple expression for the time-dependent tunneling current is
derived showing explicit dependence of the overlap. The overlap proves to be
necessary for a better quantitative description of the tunneling current, and
our theory reproduces experimental results substantially better compared to
standard approaches.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 08:02:25 GMT""}]","2009-11-07"
"cond-mat/0111576","Valentin Yu. Irkhin","V. Yu. Irkhin","New mechanism of first order magnetization process in many-sublattice
  rare-earth compounds","5 pages, RevTeX, 7 figures; extended version","J.Phys.: Cond.Mat. 14, 6865-6875 (2002)",,,"cond-mat.mtrl-sci",,"  First-order field-induced spin reorientation transitions in multisublattice
intermetallic compounds are considered within an anisotropic Heisenberg model.
Unlike previous works, only leading-order anisotropy constants of the
sublattices are included. The exchange interactions both between the rare-earth
(RE) and transition metal (TM) sublattices and within the RE sublattice play an
important role in the model. The latter interaction results in the occurrence
of metastable states. One of the minima corresponds to the non-collinear
magnetic structure where the RE subsystem is divided into two sublattices, and
their moments deviate in opposite directions from the TM moment direction. The
possible FOMP scenarios for R$_2$Fe$_{17}$, HoFe$_{11}$Ti, and TbMn$_6$Sn$_6$
systems are discussed.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 10:14:26 GMT""},{""version"":""v2"",""created"":""Thu, 16 May 2002 10:22:39 GMT""}]","2007-05-23"
"cond-mat/0111577","Julien Vidal","F. Triozon, J. Vidal, R. Mosseri, D. Mayou","Quantum dynamics in two and three-dimensional quasiperiodic tilings","4 pages, 8 EPS figures","Phys. Rev. B 65, 220202 (2002)","10.1103/PhysRevB.65.220202",,"cond-mat.dis-nn",,"  We investigate the properties of electronic states in two and
three-dimensional quasiperiodic structures: the generalized Rauzy tilings.
Exact diagonalizations, limited to clusters with a few thousands sites, suggest
that eigenstates are critical and more extended at the band edges than at the
band center. These trends are clearly confirmed when we compute the spreading
of energy-filtered wavepackets, using a new algorithm which allows to treat
systems of about one million sites. The present approach to quantum dynamics,
which gives also access to the low frequency conductivity, opens new
perspectives in the analyzis of two and three-dimensional models.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 11:14:05 GMT""}]","2007-05-23"
"cond-mat/0111578","Hideaki Maebashi","Kazumasa Miyake, Hideaki Maebashi","Huge Enhancement of Impurity Scattering due to Critical Valence
  Fluctuations in a Ce-Based Heavy Electron System","5 pages, 1 figure","J. Phys. Soc. Jpn. 71,1007 (2002)","10.1143/JPSJ.71.1007",,"cond-mat.str-el cond-mat.supr-con",,"  On the basis of the Ward-Pitaevskii identity, the residual resistivity
$\rho_{0}$ is shown to exhibit huge enhancement around the quantum critical
point of valence transition in Ce-based heavy electron systems. This explains a
sharp peak of $\rho_{0}$ observed in CeCu$_2$Ge$_2$ under the pressure at
$P\sim$16GPa where the superconducting trasition temperature also exhibit the
sharp peak.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 11:54:18 GMT""}]","2009-11-07"
"cond-mat/0111579","Jose Roberto Campanha","Hari M. Gupta and Jose R. Campanha","Gradually Truncated Log-normal distribution - Size distribution of firms","7 pages, 1 figure",,,,"cond-mat.stat-mech q-fin.GN",,"  Gradually Truncated Log-normal distribution - Size distribution of firms
  Abstract
  Many natural and economical phenomena are described through power law or log-
normal distributions. In these cases, probability decreases very slowly with
step size compared to normal distribution. Thus it is essential to cut-off
these distributions for larger step size. Recently we introduce the gradually
truncated power law distribution to successfully describe variation of
financial, educational, physical and citation index. In the present work, we
introduce gradually truncated log-normal distribution in which we gradually
cut- off larger steps due to physical limitation of the system. We applied this
distribution successfully to size distribution of USA.\'{}s manufactoring firms
which is measured through their annual sell. The physical limitation are due to
limited market size or shortage of highly competent executives.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:45:23 GMT""}]","2008-12-02"
"cond-mat/0111580","Dr. H. Scherer","R. Dolata, H. Scherer, A. B. Zorin, J. Niemeyer","Single electron transistors with high quality superconducting niobium
  islands","4 pages, 4 figures","APL Vol. 80, No. 15, pp.2776-2778 (2002)","10.1063/1.1465526",,"cond-mat.mes-hall cond-mat.supr-con",,"  Deep submicron Al-AlOx-Nb tunnel junctions and single electron transistors
with niobium islands were fabricated by electron beam gun shadow evaporation.
Using stencil masks consisting of the thermostable polymer polyethersulfone
(PES) and germanium, high quality niobium patterns with good superconducting
properties and a gap energy of up to 2Delta = 2.5 meV for the niobium were
achieved. The I(U) characteristics of the transistors show special features due
to tunneling of single Cooper pairs and significant gate modulation in both the
superconducting and the normal state.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:49:58 GMT""}]","2009-11-07"
"cond-mat/0111581","J. Schnack","H.-J. Schmidt, J. Schnack (U. of Osnabrueck), Marshall Luban (Ames Lab
  and Iowa State U.)","Approximating parabolas as natural bounds of Heisenberg spectra: Reply
  on the comment of O. Waldmann","2 pages, accepted for Europhysics Letters","Europhysics Letters 57 (2002) 620","10.1209/epl/i2002-00507-2",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  O. Waldmann has shown that some spin systems, which fulfill the condition of
a weakly homogeneous coupling matrix, have a spectrum whose minimal or maximal
energies are rather poorly approximated by a quadratic dependence on the total
spin quantum number. We comment on this observation and provide the new
argument that, under certain conditions, the approximating parabolas appear as
natural bounds of the spectrum generated by spin coherent states.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:10:48 GMT""}]","2009-11-07"
"cond-mat/0111582","Paul Fendley","Paul Fendley","Taking N to zero with S matrices","12 pages, 1 figure. Contribution to the proceedings of the NATO
  Advanced Research Workshop on Statistical Field Theories, Como 18-23 June
  2001",,,,"cond-mat.stat-mech cond-mat.str-el",,"  Interesting physical results can be obtained from sigma models by taking the
number of fields N to zero. I discuss how one can make sense of this limit by
using exact S matrix techniques. I review how this can be done for the case of
self-avoiding polymers, and speculate on the application to the replica limit
of disordered systems.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:40:00 GMT""}]","2007-05-23"
"cond-mat/0111583","Indu Satija","Indubala I. Satija","Localization, Dirac Fermions and Onsager Universality","To appear in EPJ; Proceedings of Internation conference on Geometry
  and Integrability",,"10.1140/epjb/e2002-00314-7",,"cond-mat.dis-nn",,"  Disordered systems exhibiting exponential localization are mapped to
anisotropic spin chains with localization length being related to the
anisotropy of the spin model. This relates localization phenomenon in fermions
to the rotational symmetry breaking in the critical spin chains. One of the
intriguing consequence is that the statement of Onsager universality in spin
chains implies universality of the localized fermions where the fluctuations in
localized wave functions are universal. We further show that the fluctuations
about localized nonrelativistic fermions describe relativistic fermions. This
provides a new approach to understand the absence of localization in disordered
Dirac fermions. We investigate how disorder affects well known universality of
the spin chains by examining the multifractal exponents. Finally, we examine
the effects of correlations on the localization characteristics of relativistic
fermions.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:58:25 GMT""}]","2009-11-07"
"cond-mat/0111584","Sergienko","I. A. Sergienko","On ``Epitaxial Pb(Zr,Ti)O$_3$ thin films with coexisting tetragonal and
  rhombohedral phases''","2 pages, 1 figure, Comment on S. H. Oh and H. M. Jang, Phys. Rev. B
  63, 132101, (2001)",,,,"cond-mat.mtrl-sci",,"  I present here theory of PZT thin film - MgO substrate system thermal
expansion effect. I show that elastic properties of the substrate have to be
taken into account to describe this effect.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:09:57 GMT""}]","2007-05-23"
"cond-mat/0111585","G. Fuchs","A. G\""umbel, J. Eckert, G. Fuchs, K. Nenkov, K.-H. M\""uller, and L.
  Schultz","Improved superconducting properties in nanocrystalline bulk MgB_2","14 pages including 4 figures",,"10.1063/1.1469654",,"cond-mat.supr-con",,"  Highly dense nanocrystalline MgB_2 bulk superconductors with distinctly
improved pinning were prepared by mechanical alloying of Mg and B powders and
hot compaction at ambient temperatures. The nanocrystalline samples reveal high
critical current densities of 105 A/cm2 at 20 K and 1 T together with a
strongly shifted irreversibility line towards higher fields resulting in
H_irr(T) ~ 0.8 H_c2(T), whereas typically H_irr(T) ~ 0.5 H_c2(T) is observed
for bulk untextured samples. These values exceed that of all other so far
reported bulk samples and are in the range of the values of thin films. The
improved pinning of this material which mainly consists of spherical grains of
about 40-100 nm in size is attributed to the large number of grain boundaries.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:32:42 GMT""}]","2009-11-07"
"cond-mat/0111586","Dietrich Stauffer","Agata Aleksiejuk, Janusz A. Holyst and Gueorgi Kossinets","Self-organized criticality in a model of collective bank bankruptcies","For Int. J. Mod. Phys. C 13, No. 3, six pages including four figures","Int. J. Mod. Phys. C 13 (3): 333-341 MAR 2002","10.1142/S0129183102003164",,"cond-mat.stat-mech q-fin.GN",,"  The question we address here is of whether phenomena of collective
bankruptcies are related to self-organized criticality. In order to answer it
we propose a simple model of banking networks based on the random directed
percolation. We study effects of one bank failure on the nucleation of
contagion phase in a financial market. We recognize the power law distribution
of contagion sizes in 3d- and 4d-networks as an indicator of SOC behavior. The
SOC dynamics was not detected in 2d-lattices. The difference between 2d- and
3d- or 4d-systems is explained due to the percolation theory.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:45:32 GMT""},{""version"":""v2"",""created"":""Sat, 1 Dec 2001 16:20:42 GMT""}]","2009-11-07"
"cs/0111061","Vladimir Naidenko","V. Naidenko, Yu. Orlovich","On a Special Case of the Generalized Neighbourhood Problem","13 pages, 3 figures, in Russian",,,,"cs.DM",,"  For a given finite class of finite graphs H, a graph G is called a
realization of H if the neighbourhood of its any vertex induces the subgraph
isomorphic to a graph of H. We consider the following problem known as the
Generalized Neighbourhood Problem (GNP): given a finite class of finite graphs
H, does there exist a non-empty graph G that is a realization of H? In fact,
there are two modifications of that problem, namely the finite (the existence
of a finite realization is required) and infinite one (the realization is
required to be infinite). In this paper we show that GNP and its modifications
for all finite classes H of finite graphs are reduced to the same problems with
an additional restriction on H. Namely, the orders of any two graphs of H are
equal and every graph of H has exactly s dominating vertices.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:42:17 GMT""},{""version"":""v2"",""created"":""Fri, 30 Nov 2001 10:07:27 GMT""}]","2009-09-25"
"cs/0111062","Hartmut Klauck","Hartmut Klauck","One-way communication complexity and the Neciporuk lower bound on
  formula size","32 pages, conference versions at ISAAC '97, Complexity '98, STOC '00",,,,"cs.CC quant-ph",,"  In this paper the Neciporuk method for proving lower bounds on the size of
Boolean formulae is reformulated in terms of one-way communication complexity.
We investigate the scenarios of probabilistic formulae, nondeterministic
formulae, and quantum formulae. In all cases we can use results about one-way
communication complexity to prove lower bounds on formula size. In the latter
two cases we newly develop the employed communication complexity bounds. The
main results regarding formula size are as follows: A polynomial size gap
between probabilistic/quantum and deterministic formulae. A near-quadratic size
gap for nondeterministic formulae with limited access to nondeterministic bits.
A near quadratic lower bound on quantum formula size, as well as a polynomial
separation between the sizes of quantum formulae with and without multiple read
random inputs. The methods for quantum and probabilistic formulae employ a
variant of the Neciporuk bound in terms of the VC-dimension. Regarding
communication complexity we give optimal separations between one-way and
two-way protocols in the cases of limited nondeterministic and quantum
communication, and we show that zero-error quantum one-way communication
complexity asymptotically equals deterministic one-way communication complexity
for total functions.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 19:23:33 GMT""},{""version"":""v2"",""created"":""Sat, 28 Feb 2004 00:30:05 GMT""}]","2007-05-23"
"gr-qc/0111105","Serge Reynaud","Serge Reynaud, Brahim Lamine, Astrid Lambrecht, Paulo Maia Neto,
  Marc-Thierry Jaekel","Decoherence and gravitational backgrounds","10 pages","Int.J.Mod.Phys. A17 (2002) 1003-1012","10.1142/S0217751X0201042X",,"gr-qc astro-ph quant-ph",,"  We study the decoherence process associated with the scattering of stochastic
gravitational waves. We discuss the case of macroscopic systems, such as the
planetary motion of the Moon around the Earth, for which gravitational
scattering is found to dominate decoherence though it has a negligible
influence on damping. This contrast is due to the very high effective
temperature of the background of gravitational waves in our galactic
environment.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:03:02 GMT""}]","2009-11-07"
